zone_id,week_start,risk_score_0_100,risk_bin,scored_utc
zone_17,2024-10-26,70.58682,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-11-02,97.94885,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-11-09,83.44968,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-11-16,87.81466,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-11-23,84.63033,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-11-30,85.43902,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-12-07,98.03115,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-12-14,97.85742,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-12-21,97.3872,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-12-28,97.92317,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-01-04,98.042274,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-01-11,98.003296,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-01-18,98.02099,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-01-25,97.98322,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-02-01,98.006004,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-02-08,97.97073,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-02-15,97.98399,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-02-22,98.02343,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-03-01,97.99937,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-03-08,98.02032,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-03-15,97.97701,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-03-22,98.00248,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-03-29,97.99134,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-04-05,97.977135,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-04-12,97.95944,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-04-19,98.0056,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-04-26,97.99492,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-05-03,98.02862,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-05-10,98.02737,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-05-17,98.02689,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-05-24,97.95918,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-05-31,97.97679,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-06-07,98.01255,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-06-14,98.02964,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-06-21,97.982185,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-06-28,98.01056,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-07-05,95.64683,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-07-12,90.37345,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-07-19,97.93189,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-07-26,85.30617,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-08-02,78.57787,high,2026-04-25T20:02:39.788341+00:00
